Name Prefix,First Name,Middle Name,Last Name,Name Suffix,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Nickname,File As,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Address 1 - Label,Address 1 - Country,Address 1 - Street,Address 1 - Extended Address,Address 1 - City,Address 1 - Region,Address 1 - Postal Code,Address 1 - PO Box,Organization Name,Organization Title,Organization Department,Birthday,Event 1 - Label,Event 1 - Value,Relation 1 - Label,Relation 1 - Value,Website 1 - Label,Website 1 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Notes,Labels
,LOOM ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99874-7035,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,ALINE SASSE ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99293-0108,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,MARKA ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99152-1895,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,GUSTAVO VALENTE ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99842-1393,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,CAÍQUE FERREIRA ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 98914-7996,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,MOREIRA ENGENHARIA E ARQUITETURA ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99434-3787,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,AQUILES NICOLAS KILARIS ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99766-1990,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,LARISSA PRANDO ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99106-9816,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,MARIANA GURGEL ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 98181-7091,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,MILENA CELANTE ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99547-1481,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,BEGIN ARQUITETURA ARQUITETO AMERICANA,,,,,,,,,,,Mobile,19 99982-2120,,,,,Americana,,,,,,,,,,,,,,,,,Signore Mobili Architects
,PEDRO E PAULO BRUNA ARQUITETOS ASSOCIADOS ARQUITETO SÃO PAULO,,,,,,,,,,,Mobile,11 99607-9038,,,,,São Paulo,,,,,,,,,,,,,,,,,Signore Mobili Architects
