"Name","Count","TotalSizeMB"
".manifest","1035","45,08"
".txn","1035","0,13"
".lance","1034","29,35"
".py","229","2,06"
".pyc","217","2,05"
".mdc","81","0,68"
".md","60","0,99"
"","40","0,02"
".json","32","0,74"
".log","25","0,17"
".yaml","17","0,24"
".jsonl","16","0,11"
".txt","12","0,14"
".backup","5","0,13"
".db","4","3,59"
".TAG","3","0"
".gitignore","3","0"
".ps1","3","0,03"
".idx","2","0,87"
".agents","2","0"
".bat","1","0"
".sh","1","0"
".ini","1","0"
".db-wal","1","0,59"
".db-shm","1","0,03"
".redb","1","1,01"
".bak","1","0,01"
".toml","1","0"
".val","1","0,05"
