"Directory","FileCount","TotalSizeMB"
"01_neocortex_framework\.neocortex","0","0"
"01_neocortex_framework\.neocortex\cache","1","1,72"
"01_neocortex_framework\.neocortex\cache\hot_cache","1","1,01"
"01_neocortex_framework\.neocortex\cache\hot_cache\data","0","0"
"01_neocortex_framework\.neocortex\cache\ledger","3","0,72"
"01_neocortex_framework\.neocortex\cache\ledger\88","0","0"
"01_neocortex_framework\.neocortex\cache\ledger\88\fb","1","0,05"
"01_neocortex_framework\.neocortex\cache\manifests","1","0,26"
"01_neocortex_framework\.neocortex\logs","0","0"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit","32","0,08"
"01_neocortex_framework\.neocortex\metrics","1","1,51"
"01_neocortex_framework\.ruff_cache","2","0"
"01_neocortex_framework\.ruff_cache\0.15.10","33","0,02"
"01_neocortex_framework\__pycache__","1","0,01"
"01_neocortex_framework\data","0","0"
"01_neocortex_framework\data\vector_db","0","0"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance","0","0"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_indices","0","0"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_indices\9c9186e9-5745-45e7-a140-7813ee7a94b9","2","0,87"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_transactions","1035","0,13"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_versions","1035","45,08"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data","1034","29,35"
"01_neocortex_framework\data\vector_db_test","0","0"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main","15","0,16"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main\.agents","0","0"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main\.agents\rules","1","0"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main\development_utilities","5","0,01"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main\mcp_server_legacy","1","0,06"
"01_neocortex_framework\DIR-ARC-FR-001-archive-main\scripts","5","0,02"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main","9","0,08"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root","8","0,14"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\.kilocode","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\.ruff_cache","2","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\.ruff_cache\0.15.10","4","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\archive","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\benchmarks_archive","3","0,02"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\memory_lobes","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\old_backup","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\old_backup\backup","1","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\backup_root\templates","4","0,01"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\migration_backup","9","0,22"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\migration_backup\mdc_files","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\migration_backup\mdc_files\.agents","0","0"
"01_neocortex_framework\DIR-BAK-FR-001-backup-main\migration_backup\mdc_files\.agents\rules","23","0,06"
"01_neocortex_framework\DIR-CFG-FR-001-config-main","2","0"
"01_neocortex_framework\DIR-CORE-FR-001-core-central","8","0,26"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\.agents","1","0,01"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\.agents\rules","29","0,41"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\.agents\rules\archive","0","0"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\.agents\workflows","1","0"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\__pycache__","3","0,01"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\memory_lobes","0","0"
"01_neocortex_framework\DIR-DAT-FR-001-data-main","0","0"
"01_neocortex_framework\DIR-DOC-FR-001-docs-main","60","1,48"
"01_neocortex_framework\DIR-DOC-FR-001-docs-main\legacy","1","0"
