"Directory","FileCount","TotalSizeMB"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_transactions","1035","0,13"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_versions","1035","45,08"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data","1034","29,35"
"01_neocortex_framework\neocortex\mcp\tools\__pycache__","62","0,35"
"01_neocortex_framework\DIR-DOC-FR-001-docs-main","60","1,48"
"01_neocortex_framework\scripts","59","0,56"
"01_neocortex_framework\neocortex\mcp\tools","36","0,27"
"01_neocortex_framework\.ruff_cache\0.15.10","33","0,02"
"01_neocortex_framework\scripts\__pycache__","33","0,38"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit","32","0,08"
