"Directory","FileCount","TotalSizeMB"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_versions","1035","45,08"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data","1034","29,35"
"01_neocortex_framework\.neocortex\cache","1","1,72"
"01_neocortex_framework\.neocortex\metrics","1","1,51"
"01_neocortex_framework\DIR-DOC-FR-001-docs-main","60","1,48"
"01_neocortex_framework\.neocortex\cache\hot_cache","1","1,01"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\_indices\9c9186e9-5745-45e7-a140-7813ee7a94b9","2","0,87"
"01_neocortex_framework\.neocortex\cache\ledger","3","0,72"
"01_neocortex_framework\scripts","59","0,56"
"01_neocortex_framework\DIR-CORE-FR-001-core-central\.agents\rules","29","0,41"
