"RelativePath","SizeKB","LastWriteTime"
"01_neocortex_framework\pyproject.toml","3,35","13/04/2026 08:37:17"
"01_neocortex_framework\requirements.txt","1,06","10/04/2026 16:28:24"
"01_neocortex_framework\ruff_audit_sprint.txt","6,79","13/04/2026 09:37:30"
"01_neocortex_framework\test_vector_scan.py","0,6","14/04/2026 09:51:25"
"01_neocortex_framework\.neocortex\cache\lobe_index.db","1764","14/04/2026 12:13:21"
"01_neocortex_framework\.neocortex\cache\hot_cache\index.redb","1032","10/04/2026 20:52:48"
"01_neocortex_framework\.neocortex\cache\ledger\cache.db","100","14/04/2026 00:08:28"
"01_neocortex_framework\.neocortex\cache\ledger\cache.db-shm","32","14/04/2026 00:08:28"
"01_neocortex_framework\.neocortex\cache\ledger\cache.db-wal","603,55","14/04/2026 12:13:21"
"01_neocortex_framework\.neocortex\cache\ledger\88\fb\cdc65293daed48160fadc3e65fcf.val","54,46","13/04/2026 09:31:46"
"01_neocortex_framework\.neocortex\cache\manifests\cache.db","264","10/04/2026 21:27:09"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260411_220908.jsonl","1,26","11/04/2026 22:09:10"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260411_221013.jsonl","1,59","11/04/2026 22:10:14"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260411_221933.jsonl","1,26","11/04/2026 22:19:33"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260411_222550.jsonl","1,59","11/04/2026 22:25:50"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260411_222600.jsonl","1,59","11/04/2026 22:26:01"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_170046.jsonl","1,59","13/04/2026 17:00:48"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_170112.jsonl","1,59","13/04/2026 17:01:12"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_170556.jsonl","1,59","13/04/2026 17:05:57"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_171325.jsonl","1,59","13/04/2026 17:13:25"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_171341.jsonl","1,59","13/04/2026 17:13:41"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_171619.jsonl","1,54","13/04/2026 17:16:20"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_171702.jsonl","1,54","13/04/2026 17:17:03"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_172840.jsonl","1,06","13/04/2026 17:29:12"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_174155.jsonl","13,43","13/04/2026 18:16:26"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\audit_20260413_181022.jsonl","3,82","13/04/2026 18:16:25"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_220908.log","1,37","11/04/2026 22:09:10"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_221013.log","1,7","11/04/2026 22:10:14"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_221933.log","1,37","11/04/2026 22:19:33"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_221956.log","0","11/04/2026 22:19:56"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_222550.log","1,7","11/04/2026 22:25:50"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260411_222600.log","1,7","11/04/2026 22:26:01"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_170046.log","1,7","13/04/2026 17:00:48"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_170112.log","1,7","13/04/2026 17:01:12"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_170556.log","1,7","13/04/2026 17:05:57"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_171325.log","1,7","13/04/2026 17:13:25"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_171341.log","1,7","13/04/2026 17:13:41"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_171619.log","1,65","13/04/2026 17:16:20"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_171702.log","1,65","13/04/2026 17:17:03"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_172840.log","1,37","13/04/2026 17:29:12"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_174155.log","16,98","13/04/2026 18:16:26"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\hud_session_20260413_181022.log","4,81","13/04/2026 18:16:25"
"01_neocortex_framework\.neocortex\logs\NC-LOG-FR-001-hud-audit\test_session.log","0","11/04/2026 22:20:27"
"01_neocortex_framework\.neocortex\metrics\metrics.db","1548","11/04/2026 20:38:41"
"01_neocortex_framework\.ruff_cache\.gitignore","0,03","10/04/2026 13:09:18"
"01_neocortex_framework\.ruff_cache\CACHEDIR.TAG","0,04","10/04/2026 13:09:18"
"01_neocortex_framework\.ruff_cache\0.15.10\10255154968851179306","0,8","13/04/2026 15:14:00"
"01_neocortex_framework\.ruff_cache\0.15.10\10637264365606295253","0,24","13/04/2026 01:17:35"
"01_neocortex_framework\.ruff_cache\0.15.10\10766676632443946867","0,11","11/04/2026 00:50:39"
"01_neocortex_framework\.ruff_cache\0.15.10\12016335420558987446","0,47","13/04/2026 10:25:12"
"01_neocortex_framework\.ruff_cache\0.15.10\12149446580951027873","0,19","13/04/2026 01:17:08"
"01_neocortex_framework\.ruff_cache\0.15.10\12292179567332547993","0,16","13/04/2026 01:10:57"
"01_neocortex_framework\.ruff_cache\0.15.10\1338025159137133860","0,7","13/04/2026 08:29:26"
